"name"
"Vince Vaughn"
"Paul Verhoeven"
"Gore Vidal"
"Nana Visitor"
"Jon Voight"
"Christopher Walken"
"J.T. Walsh"
"Sela Ward"
"Julie Warner"
"Lesley Ann Warren"
"John Waters"
"Teri Weigel"
"Peter Weller"
"Wim Wenders"
"Joanne Whalley"
"Wil Wheaton"
"Billy Wilder"
"Gene Wilder"
"Michael Wincott"
"Debra Winger"
"Kate Winslet"
"Reese Witherspoon"
"BD Wong"
"Elijah Wood"
"Robin Wright"
"Michelle Yeoh"
"Sean Young"
"Billy Zane"
"Robert Zemeckis"
"Rick Baker"
"Willie Aames"
"Caroline Aaron"
"Paula Abdul"
"Kareem Abdul-Jabbar"
"Ian Abercrombie"
"F. Murray Abraham"
"Jim Abrahams"
"Victoria Abril"
"Joss Ackland"
"Deborah Adair"
"Brooke Adams"
"Joey Lauren Adams"
"Maud Adams"
"Mario Adorf"
"Casey Affleck"
"John Agar"
"Brian Aherne"
"Danny Aiello"
"Anouk Aimée"
"Eddie Albert"
"Brian Aldiss"
"Jane Alexander"
"Muhammad Ali"
"Debbie Allen"
"Irwin Allen"
"Tim Allen"
"June Allyson"
"Maria Conchita Alonso"
"Carol Alt"
"Trini Alvarado"
"Don Ameche"
"Leon Ames"
"Mädchen Amick"
"Suzy Amis"
"Judith Anderson"
"Juliet Anderson"
"Kevin Anderson"
"Lindsay Anderson"
"Loni Anderson"
"Melissa Sue Anderson"
"Melody Anderson"
"Paul Thomas Anderson"
"Richard Dean Anderson"
"Bibi Andersson"
"Anthony Andrews"
"Dana Andrews"
"André the Giant"
"Pier Angeli"
"Theodoros Angelopoulos"
"Jean-Hugues Anglade"
"Francesca Annis"
"Susan Anspach"
"Lysette Anthony"
"Susan Anton"
"Laura Antonelli"
"Michelangelo Antonioni"
"Christina Applegate"
"Michael Apted"
"Alfonso Arau"
"Roscoe 'Fatty' Arbuckle"
"Denys Arcand"
"Eve Arden"
"Asia Argento"
"Dario Argento"
"Pedro Armendáriz"
"Alison Armitage"
"Bess Armstrong"
"Gillian Armstrong"
"Desi Arnaz"
"James Arness"
"Tom Arnold"
"Alexis Arquette"
"Lewis Arquette"
"Jean Arthur"
"Dana Ashbrook"
"Hal Ashby"
"Linden Ashby"
"Edward Asner"
"Armand Assante"
"Olivier Assayas"
"Mary Astor"
"Christopher Atkins"
"Stéphane Audran"
"Claudine Auger"
"Bille August"
"Paul Auster"
"Daniel Auteuil"
"Gene Autry"
"Frankie Avalon"
"Roger Avary"
"Tex Avery"
"John G. Avildsen"
"Mili Avital"
"Lew Ayres"
"Shabana Azmi"
"Barbara Bach"
"Burt Bacharach"
"Amitabh Bachchan"
"Jim Backus"
"Angelo Badalamenti"
"Mary Badham"
"Jane Badler"
"Maxine Bahns"
"Barbara Bain"
"Oksana Baiul"
"Diane Baker"
"Joe Don Baker"
"Kathy Baker"
"Ralph Bakshi"
"Scott Bakula"
"Bob Balaban"
"Daniel Baldwin"
"Ina Balin"
"Lucille Ball"
"Michael Ballhaus"
"Martin Balsam"
"Anne Bancroft"
"Tamasaburô Bandô"
"Tallulah Bankhead"
"Ian Bannen"
"Theda Bara"
"Olivia Barash"
"Javier Bardem"
"Clive Barker"
"Lex Barker"
"Jean-Marc Barr"
"Majel Barrett"
"Raymond J. Barry"
"Ethel Barrymore"
"John Drew Barrymore"
"John Barrymore"
"Lionel Barrymore"
"Paul Bartel"
"Freddie Bartholomew"
"Robin Bartlett"
"Billy Barty"
"Mikhail Baryshnikov"
"Richard Basehart"
"Jason Bateman"
"Justine Bateman"
"Alan Bates"
"Kathy Bates"
"Randall Batinkoff"
"Patrick Bauchau"
"Belinda Bauer"
"Steven Bauer"
"Noah Baumbach"
